name:,Fullness Factor:,ND Rating:,Weight loss:,Optimum health:,Weight gain:,carbs ratio:,fats ratio:,protein ratio:,GLYCEMIC_LOAD:,Completeness Score:,Amino Acid Score:,Calories:,Calories From Carbohydrate:,Calories From Fat:,Calories From Protein:,Calories From Alcohol:,Dietary Fiber:,Starch:,Sugars:,Sucrose:,Glucose:,Fructose:,Lactose:,Maltose:,Galactose:,Total Fat:,Saturated Fat:,4:00,6:00,8:00,10:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,22:00,24:00:00,Monounsaturated Fat:,14:01,15:01,16:1 undifferentiated:,16:1 c:,16:1 t:,17:01,18:1 undifferentiated:,18:1 c:,18:1 t:,20:01,22:1 undifferentiated:,22:1 c:,22:1 t:,24:1 c:,Polyunsaturated Fat:,16:2 undifferentiated:,18:2 undifferentiated:,"18:2 n-6 c,c:","18:2 c,t:","18:2 t,c:","18:2 t,t:",18:2 i:,18:2 t not further defined:,18:03,"18:3 n-3, c,c,c:","18:3 n-6, c,c,c:",18:4 undifferentiated:,"20:2 n-6 c,c:",20:3 undifferentiated:,20:3 n-3:,20:3 n-6:,20:4 undifferentiated:,20:4 n-3:,20:4 n-6:,20:5 n-3:,22:02,22:5 n-3:,22:6 n-3:,Total trans fatty acids:,Total trans-monoenoic fatty acids:,Total trans-polyenoic fatty acids:,Total Omega-3 fatty acids:,Total Omega-6 fatty acids:,Protein:,Tryptophan:,Threonine:,Isoleucine:,Leucine:,Lysine:,Methionine:,Cystine:,Phenylalanine:,Tyrosine:,Valine:,Arginine:,Histidine:,Alanine:,Aspartic acid:,Glutamic acid:,Glycine:,Proline:,Serine:,Hydroxyproline:,Vitamin A:,Retinol:,Retinol Activity Equivalent:,Alpha Carotene:,Beta Carotene:,Beta Cryptoxanthin:,Lycopene:,Lutein+Zeaxanthin:,Vitamin C:,Vitamin D:,Vitamin E (Alpha Tocopherol):,Beta Tocopherol:,Gamma Tocopherol:,Delta Tocopherol:,Vitamin K:,Thiamin:,Riboflavin:,Niacin:,Vitamin B6:,Folate:,Food Folate:,Folic Acid:,Dietary Folate Equivalents:,Vitamin B12:,Pantothenic Acid:,Choline:,Betaine:,Calcium:,Iron:,Magnesium:,Phosphorus:,Potassium:,Sodium:,Zinc:,Copper:,Manganese:,Selenium:,Fluoride:,Cholesterol:,Phytosterols:,Campesterol:,Stigmasterol:,Beta-sitosterol:,Alcohol:,Water:,Ash:,Caffeine:,Theobromine:,tag
Fast foods. burrito. with beans. cheese. and beef,2.2,2.3,25.60012186,28.0001767,30.51568138,48%,35%,17%,10.03022753,45,125,163.01541,77.467705,57.111523,28.434132,,,,,,,,,,,6.549806,3.521906,,,,21.99718,144.9797,,570.95044,,1853.7126,,930.9639,,,,,2.1959562,,,,,,,2195.6555,,,,,,,,0.5020489,,451.0222,,,,,,,51.005302,,,,,,,,,,,,,,,,,,51.005302,451.0222,7.18016,85.992775,260.98273,323.9681,564.02325,459.06158,144.00497,81.00518,334.00714,240.99783,362.98523,370.0493,203.98918,298.00912,568.9365,1536.1338,296.00555,547.0708,346.02054,,393.97083,,,,,,,,2.5004015,,,,,,,0.15001008,0.35004202,1.9002618,0.11000829,37.003403,30.00122,7.000213,41.996197,0.539928,0.8200373,27.900282,11.700721,63.98985,1.8401574,24.997374,69.007515,201.96788,487.9529,1.1601655,0.16200815,0.19501442,8.70105,,60.999146,,,,,0,64.942444,1.769966,,,1
Fast foods. burrito. with beans. cheese. and chili peppers,2.1,2.4,25.11708875,28.58396321,31.7258474,51%,30%,19%,13.31274811,46,106,196.97018,100.23258,58.90022,37.857082,,,,,,,,,,,6.840142,3.3314667,,,,,,,247.03328,,1932.1427,,1153.0458,,,,,2.5149071,,,,,,,2515.2256,,,,,,,,0.37696046,,377.0085,,,,,,,,,,,,,,,,,,,,,,,,,,377.0085,9.910128,117.999626,329.95474,440.9935,766.0378,536.9724,186.0234,120.99363,495.05777,334.97418,497.9286,442.98123,268.03476,325.0105,716.06604,2399.9846,294.01544,866.05023,512.04065,,474.9622,37.003403,55.004826,,,,,,1.9998937,,,,,,,0.1599787,0.35999107,2.2896445,0.11998849,48.99776,43.006485,5.9997916,52.992855,0.5900772,0.8600143,,,85.992775,2.2896445,28.996819,85.004036,240.99783,612.9572,1.8102397,0.17501602,0.24200779,13.198757,,46.99369,,,,,0,55.769894,2.1402166,,,1
Fast foods. burrito. with beans and cheese,2,2.5,25.11604179,29.96492822,33.55386187,58%,27%,15%,15.937824,40,117,203.00862,117.772415,54.793194,30.45763,,,,,,,,,,,6.2899537,3.6815903,,,,0,146.00793,,371.95615,,2187.208,,977.86273,,,,,1.3351647,,,,,,,1334.9443,,,,,,,,0.959073,,847.88196,,,,,,,111.01292,,,,,,,,,,,,,,,,,,111.01292,847.88196,8.099482,94.99714,272.02487,382.00677,633.9846,492.0454,155.9968,81.00518,393.97083,288.95923,422.95663,355.0281,228.99762,258.97836,611.9735,1971.01,213.03015,697.0023,415.95016,,671.93933,23.001692,52.992855,,,,,,0.89990973,,,,,,,0.11998849,0.380008,1.9199066,0.12997942,39.99484,17.000992,23.001692,56.00328,0.47992665,0.8600143,,,115.0058,1.2198371,43.006485,97.00157,267.0035,627.09796,0.8798776,0.18900086,0.23199381,9.101337,,14.998988,,,,,0,53.90282,2.149868,,,1
Fast foods. burrito. with beans and chili peppers,2,2.1,21.65416304,24.80478301,29.40066551,56%,30%,14%,15.20556075,38,88,201.96788,112.557,60.18167,29.230633,,,,,,,,,,,7.189393,3.7292144,,,,39.99484,90.00624,,422.00662,,2144.0774,,1033.0804,,,,,2.6323283,,,,,,,2631.7695,,,,,,,,0.4730246,,405.00647,,,,,,,67.99529,,,,,,,,,,,,,,,,,,67.99529,405.00647,8.029528,93.995415,272.9878,304.00394,555.92865,362.0536,120.99363,120.99363,390.94513,221.97212,350.94604,406.9627,196.97018,296.00555,714.9168,2082.9773,288.03247,572.9715,394.9846,,100.00745,0,5.0005703,,,,,,0.6000336,,,,,,,0.21996589,0.35004202,2.149868,0.13997783,46.99369,18.00149,28.996819,66.99792,0.5699225,0.92010146,,,48.99776,2.230094,35.00304,56.00328,283.98996,512.04065,1.6699326,0.1630061,0.38394478,8.999572,,15.999458,,,,,0,54.37238,1.9397544,,,1
Fast foods. burrito. with beans and meat,2.1,2.2,23.82914466,26.69247376,30.23361035,51%,31%,18%,15.26996313,39,120,219.98453,113.53749,67.32153,39.11808,,,,,,,,,,,7.7109785,3.5997064,,,,,,,350.94604,,2247.7522,,1002.02985,,,,,3.0379703,,,,,,,3038.1472,,,,,,,,0.52892065,,489.99487,,,,,,,39.005146,,,,,,,,,,,,,,,,,,39.005146,489.99487,9.730304,117.01818,358.00574,387.9427,726.9592,593.9613,190.00949,127.0073,424.99957,288.03247,444.97794,558.0758,268.98355,486.07556,802.0476,2057.0444,531.9933,647.9857,428.01376,,275.0122,0,13.997976,,,,,,0.7999781,,,,,,,0.22998172,0.35999107,2.3402317,0.1599787,49.999485,32.002308,18.00149,62.99049,0.74989486,0.96992815,,,45.993046,2.119681,35.995106,60.999146,283.98996,577.96265,1.6597652,0.1630061,0.35999107,13.198757,,21.002775,,,,,0,51.897808,2.0899174,,,1
Fast foods. enchirito. with cheese. beef. and beans,2.2,2.5,27.10892389,30.2300703,32.21044466,38%,41%,21%,8.743672524,46,125,178.01419,67.73369,73.37417,36.896572,,,,,,,,,,,8.3290615,4.1184797,,,,57.00155,237.9974,,,,2605.6917,,1216.9823,,,,,3.3767323,,,,,,,3376.8176,,,,,,,,0.17000008,,,,,,,,,170.02179,,,,,,,,,,,,,,,,,,170.02179,,9.26954,101.986465,349.03476,406.9627,803.07886,612.9572,195.01843,93.995415,400.99332,325.0105,469.04892,505.99072,280.0042,487.9529,788.0016,1848.955,424.99957,633.9846,417.95926,,526.0455,23.998045,45.993046,,,,,,2.399635,,,,,,,0.08999106,0.35999107,1.5499315,0.11000829,48.99776,31.00055,18.00149,62.006737,0.8400584,0.9498652,,,112.99172,1.2400026,37.003403,116.00763,289.9821,647.9857,1.4297891,0.13997783,0.19902171,4.199998,,25.996523,,,,,0,62.66756,2.2200828,,,1
Fast foods. nachos. with cheese. beans. ground beef. and peppers,1.9,2.7,25.39878581,31.9316341,35.83823616,41%,46%,13%,11.72627679,40,111,222.97264,90.557274,102.70978,29.723024,,,,,,,,,,,12.040098,4.8972197,,,,190.00949,264.01837,,820.0236,,2612.3967,,1011.0833,,,,,4.306589,,,,,,,4306.423,,,,,,,,2.2308109,,2137.8877,,,,,,,93.00425,,,,,,,,,,,,,,,,,,93.00425,2137.8877,7.760685,76.996315,279.01654,347.02237,749.96765,438.0286,165.97446,85.992775,359.96616,300.9916,413.95074,358.00574,235.03435,389.94174,574.9997,1522.868,268.03476,639.9183,373.99295,,1334.0869,,,,,,,,1.9002618,,,,,,,0.08999106,0.26996553,1.3100791,0.1599787,14.998988,14.998988,0,14.998988,0.399974,0.99009603,28.098162,1.9998937,151.01674,1.0900112,38.0033,151.9901,176.98784,706.0161,1.4297891,0.2919645,0.16598311,5.39969,,8.001201,,,,,0,55.96731,2.350029,,,1
Fast foods. tostada. with beans. beef. and cheese,2.2,2.4,25.94275504,28.4990506,30.89927235,36%,44%,20%,7.017654161,46,120,147.99121,53.300163,65.74006,28.959583,,,,,,,,,,,7.5298166,5.099544,,,,555.92865,1231.1377,,1024.1589,,1644.9197,,643.00916,,,,,1.560931,,,,,,,1561.0059,,,,,,,,0.26496378,,238.99338,,,,,,,25.996523,,,,,,,,,,,,,,,,,,25.996523,238.99338,7.1502337,76.996315,265.97626,320.0375,609.0318,466.0451,142.99084,71.00893,320.9641,247.03328,366.97147,368.98096,210.98703,343.03238,623.082,1408.0621,289.9821,484.04993,333.04288,,566.9297,18.999727,44.999252,,,,,,1.7997969,,,,,,,0.03999539,0.21996589,1.2698563,0.11000829,38.0033,38.0033,0,38.0033,0.49995255,0.83012104,,,83.99968,1.0900112,30.00122,76.996315,218.01474,386.94702,1.4101614,0.13997783,0.1599787,9.299368,,33.004616,,,,,0,70.44094,1.7002631,,,1
Fast foods. tostada. with beans and cheese,2.2,2.5,26.98539084,30.04411514,32.07112526,47%,38%,15%,9.404558242,45,113,154.99777,72.83404,58.279125,23.882685,,,,,,,,,,,6.848938,3.7268188,,,,168.98723,474.04764,,533.01965,,1722.2438,,829.02893,,,,,2.1210437,,,,,,,2120.7874,,,,,,,,0.5199749,,478.94574,,,,,,,40.99647,,,,,,,,,,,,,,,,,,40.99647,478.94574,6.6708584,69.98983,244.97862,300.9916,574.0769,403.05963,122.008415,66.99792,323.03284,230.99243,349.03476,323.03284,190.9886,280.0042,605.90955,1335.8022,203.00862,459.94724,334.00714,,432.01968,11.000802,31.00055,,,,,,0.89990973,,,,,,,0.07000633,0.22998172,0.92010146,0.11000829,30.00122,30.00122,0,30.00122,0.47992665,0.790006,,,146.00793,1.3100791,40.99647,81.00518,280.0042,377.0085,1.3198018,0.14299867,0.2549887,2.399635,,21.002775,,,,,0,66.248856,1.8301303,,,1
Frijoles rojos volteados (Refried beans. red. canned),2.2,2.9,30.24211716,35.20563009,35.782314,43%,43%,14%,5.804822444,39,106,144.00497,61.62943,62.386356,20.001848,,4.6998997,8.299678,,,,,,,,6.9308395,0.92603827,0,0,0,14.998988,1.9998937,,7.000213,1.0000149,714.9168,7.000213,139.99113,,12.00148,12.00148,13.997976,1.6758474,0,0,7.000213,7.000213,0,1.9998937,1604.2162,1597.0178,7.000213,63.98985,0,0,0,0,4.379148,,3894.485,3718.4385,,,,,164.01341,478.94574,425.95633,52.992855,0,1.9998937,3.0001352,0,3.0001352,0,,,0,,0,0,0.17099169,0.006999225,0.16401017,425.95633,3952.4602,5.0005703,48.99776,162.02348,208.02585,406.9627,270.97827,133.0204,9.999676,276.96265,171.99942,289.9821,206.03072,107.988014,265.03806,564.92993,796.91125,207.02588,344.02557,312.01794,0,,,,,,,,,,,1.040024,0.03999539,1.5599278,0.43997213,,0.026998628,0.017001577,0.63991547,0.08498941,5.0005703,5.0005703,,,,0.17501602,,,33.004616,1.949755,35.995106,90.99468,310.01974,374.9553,0.70000964,0.21996589,0.29499155,3.5004694,,,,,,,0,70.713005,1.8899074,,,1
HEALTHY CHOICE Country Roasted Turkey w/Cranberry Apple Sauce. Green Beans & Carrot Blend,2.8,3,36.37140225,36.07434478,30.75200638,54%,17%,29%,4.988238865,39,,81.00518,43.998653,13.677912,23.321634,,2.399635,,6.690175,,,,,,,1.5198364,0.4200384,,,,,,,,,,,,,,,,0.36998367,,,,,,,,,,,,,,,0.6299061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8306594,,,,,,,,,,,,,,,,,,,,1075.0616,,,,,,,,45.904484,,,,,,,,,,,,,,,,,,,17.000992,0.6299061,,,,158.98158,,,,,,8.999572,,,,,0,80.61579,0.9401409,,,1
HEALTHY CHOICE Salisbury Steak w/Mushroom Gravy. Roasted Red Potatoes. Green Beans. Corn. Carrot Medley. Caramel Apple Dessert. frozen meal,2.7,2.7,33.10049144,32.58810904,29.55978598,53%,21%,26%,5.80773364,36,,93.995415,50.43504,19.444313,24.121712,,1.9998937,,5.800763,,,,,,,2.1602569,0.8700293,,,,,,,,,,,,,,,,0.8798776,,,,,,,,,,,,,,,0.39005193,,,,,,,,,,,,,,,,,,,,,,,,0.03999539,,,,,6.030713,,,,,,,,,,,,,,,,,,,,350.04532,,,,,,,,12.00148,,,,,,,,,,,,,,,,,,,24.997374,0.77990705,,,,162.02348,,,,,,8.999572,,,,,0,78.11744,1.010033,,,1
HEALTHY CHOICE Traditional Meat Loaf w/Brown Sauce. Mashed Potatoes. Green Beans and Apple Praline Crisp. frozen meal,2.7,2.4,30.65159866,29.21152337,27.30447122,49%,27%,24%,5.059755314,32,,86.99301,42.909885,23.404192,20.681396,,1.9002618,,3.9998012,,,,,,,2.600379,0.6200531,,,,,,,,,,,,,,,,0.67004347,,,,,,,,,,,,,,,0.36998367,,,,,,,,,,,,,,,,,,,,,,,,0.029999979,,,,,5.170487,,,,,,,,,,,,,,,,,,,,72.99801,,,,,,,,7.7010756,,,,,,,,,,,,,,,,,,,30.00122,0.83012104,,,,146.00793,,,,,,11.000802,,,,,0,80.512276,0.92010146,,,1
HORMEL Chili. No Beans. canned entree,2.9,2.4,31.96688481,28.89356478,25.32398569,34%,31%,35%,4.111878222,38,,82.00008,28.179516,25.021475,28.80186,,1.3000101,,1.4201696,,,,,,,2.7801328,0.9299177,,,,,0,,60.007927,,550.0665,,300.02628,,,,,0.9498652,,,90.00624,,,,859.9513,,,,,,,,0.35999107,,320.0375,,,,,,,39.99484,,,,,,,,,,,,,,,,,,39.99484,320.0375,7.2009516,,,,,,,,,,,,,,,,,,,,1010.1094,,,,,,,,0,,,,,,,,,,,,,,,,,,,21.002775,1.0998687,15.999458,,147.99121,411.03558,1.0998687,0.10000421,,,,14.998988,,,,,0,81.18754,1.4798231,,,1
HORMEL Chili with Beans. canned entree,2.7,2.5,31.65782673,30.57669386,28.23367797,56%,16%,28%,5.618102918,40,,97.00157,54.232826,15.927661,26.836586,,3.3995953,,1.8699683,,,,,,,1.769966,0.74007,,,,,0,,39.99484,,440.00296,,239.99352,,,,,0.6800329,,,69.98983,,,,610.0108,,,,,,,,0.35004202,,200.03085,,,,,,,150.00142,,,,,,,,,,,,,,,,,,150.00142,200.03085,6.709548,,,,,,,,,,,,,,,,,,,,391.9511,,,,,,,,0.19998784,,,,,,,,,,,,,,,,,,,27.999046,1.3000101,23.998045,,268.03476,471.0118,1.0998687,0.10000421,,,,9.999676,,,,,0,76.06213,1.9298049,,,1
HORMEL Turkey Chili with Beans. canned entree,2.9,3,37.33156882,36.19117557,29.83484708,51%,12%,37%,4.637755648,48,,82.00008,41.593414,10.077075,30.320957,,2.600379,,2.320013,,,,,,,1.1198515,0.26996553,,,,,0,,9.999676,,200.03085,,60.007927,,,,,0.17000008,,,9.999676,,,,160.00629,,,,,,,,0.49007404,,310.01974,,,,,,,170.02179,,,,,,,,,,,,,,,,,,170.02179,310.01974,7.5807905,,,,,,,,,,,,,,,,,,,,668.06525,,,,,,,,0.6000336,,,,,,,,,,,,,,,,,,,46.99369,1.4002237,27.999046,,275.9857,484.9838,1.0998687,0.10000421,,,,13.997976,,,,,0,78.84857,2.0199187,,,1
HORMEL Vegetarian Chili with Beans. canned entree,2.8,3.4,39.62962426,41.26817613,33.5312955,74%,3%,23%,6.087309001,48,,83.00719,61.17576,2.5197608,19.319784,,3.9998012,,2.5197608,,,,,,,0.27998212,0.050003715,,,,,0,,0,,49.999485,,0,,,,,0.029999979,,,0,,,,30.00122,,,,,,,,0.1599787,,79.99666,,,,,,,69.98983,,,,,,,,,,,,,,,,,,69.98983,79.99666,4.830025,,,,,,,,,,,,,,,,,,,,785.9791,,,,,,,,0.49995255,,,,,,,,,,,,,,,,,,,39.005146,1.4002237,33.004616,,325.0105,315.0394,0.70000964,0.19998784,,,,0,,,,,0,77.94197,1.6301566,,,1
Hyacinth-beans. immature seeds. cooked. boiled. drained. without salt,3.5,4.6,53.27676782,54.84641648,29.68499766,75%,5%,20%,5.064279107,62,,49.999485,37.506042,2.259673,10.236963,,,,,,,,,,,0.26996553,0.1189822,,,,,1.9998937,,3.9998012,,75.98887,,12.00148,,,,,0.12901525,,,1.0000149,,,,127.990265,,,,,,,,0.010001244,,1.9998937,,,,,,,8.999572,,,,,,,,,,,,,,,,,,8.999572,1.9998937,2.9504201,,123.98392,200.99704,307.04642,203.00862,25.996523,20.001848,65.00506,52.992855,218.01474,200.99704,123.98392,153.01889,58.994904,359.96616,242.00636,,150.00142,,141.98387,0,7.000213,,,,,,5.099544,,,,,,,0.05599966,0.08799642,0.47992665,0.02299783,46.99369,46.99369,0,46.99369,0,0.053005077,,,40.99647,0.76009446,41.996197,48.99776,261.9907,1.9998937,0.380008,0.047996275,0.20997734,1.6000471,,0,,,,,0,86.90922,0.6800329,,,1
Hyacinth-beans. immature seeds. cooked. boiled. drained. with salt,3.5,3.9,49.75325319,46.92644869,28.01230009,75%,5%,20%,5.064279107,62,,49.999485,37.506042,2.259673,10.236963,,,,,,,,,,,0.26996553,0.1189822,,,,,1.9998937,,3.9998012,,75.98887,,12.00148,,,,,0.12901525,,,1.0000149,,,,127.990265,,,,,,,,0.010001244,,1.9998937,,,,,,,8.999572,,,,,,,,,,,,,,,,,,8.999572,1.9998937,2.9504201,,123.98392,200.99704,307.04642,203.00862,25.996523,20.001848,65.00506,52.992855,218.01474,200.99704,123.98392,153.01889,58.994904,359.96616,242.00636,,150.00142,,141.98387,0,7.000213,,,,,,5.099544,,,,,,,0.05599966,0.08799642,0.47992665,0.02299783,46.99369,46.99369,0,46.99369,0,0.053005077,,,40.99647,0.76009446,41.996197,48.99776,261.9907,237.9974,0.380008,0.047996275,0.20997734,1.6000471,,0,,,,,0,86.90922,0.6800329,,,1
Hyacinth-beans. immature seeds. raw,3.6,4.6,54.53155262,55.21391038,28.53568528,80%,4%,16%,4.787724118,63,,45.993046,37.027184,1.6736941,7.2870617,,,,,,,,,,,0.19998784,0.08799642,,,,,1.0000149,,3.0001352,,56.00328,,8.999572,,,,,0.095005676,,,1.0000149,,,,94.99714,,,,,,,,0.008000115,,1.0000149,,,,,,,7.000213,,,,,,,,,,,,,,,,,,7.000213,1.0000149,2.1000168,,88.00489,142.99084,218.01474,144.9797,18.999727,13.997976,45.993046,38.0033,154.99777,142.99084,88.00489,108.99872,41.996197,256.00067,171.99942,,106.98669,,108.99872,0,5.0005703,,,,,,12.901111,,,,,,,0.076989114,0.09200053,0.5199749,0.023997106,62.006737,62.006737,0,62.006737,0,0.05500144,,,49.999485,0.74007,39.99484,48.99776,252.00266,1.9998937,0.36998367,0.04699925,0.20502128,1.4999374,,0,,,,,0,87.86365,0.63991547,,,1
Hyacinth beans. mature seeds. cooked. boiled. without salt,2.5,3.7,38.03808915,44.08109965,38.03808915,72%,4%,24%,10.95909633,43,79,117.01818,83.91876,4.8533597,28.25203,,,,,,,,,,,0.5799125,0.09900338,,,,,,,,,,,,,,,,,,,,,,,25.996523,,,,,,,,,,244.97862,,,,,,,,,,,,,,,,,,,,,,,,,,244.97862,8.141223,67.99529,315.0394,389.94174,690.98315,555.92865,65.00506,94.99714,409.98065,291.00858,422.00662,597.9817,233.00462,364.03616,961.97296,1322.991,350.94604,396.00095,447.98987,,0,0,0,,,,,,0,,,,,,,0.26996553,0.037002373,0.410941,0.037002373,3.9998012,3.9998012,0,3.9998012,0,0.31595305,,,39.99484,4.5806317,82.00008,119.98728,337.02493,7.000213,2.8497818,0.34102574,0.4819392,2.799857,,0,,,,,0,69.140656,1.4599783,,,1
Hyacinth beans. mature seeds. cooked. boiled. with salt,2.5,3.2,35.15260543,38.60536313,35.15260543,72%,4%,24%,10.95909633,43,79,117.01818,83.91876,4.8533597,28.25203,,,,,,,,,,,0.5799125,0.09900338,,,,,,,,,,,,,,,,,,,,,,,25.996523,,,,,,,,,,244.97862,,,,,,,,,,,,,,,,,,,,,,,,,,244.97862,8.141223,67.99529,315.0394,389.94174,690.98315,555.92865,65.00506,94.99714,409.98065,291.00858,422.00662,597.9817,233.00462,364.03616,961.97296,1322.991,350.94604,396.00095,447.98987,,0,0,0,,,,,,0,,,,,,,0.26996553,0.037002373,0.410941,0.037002373,3.9998012,3.9998012,0,3.9998012,0,0.31595305,,,39.99484,4.5806317,82.00008,119.98728,337.02493,243.0191,2.8497818,0.34102574,0.4819392,2.799857,,0,,,,,0,69.140656,1.4599783,,,1
Hyacinth beans. mature seeds. raw,2.3,3.5,35.2171867,42.58692002,39.36603986,72%,4%,24%,40.45281879,44,79,344.02557,246.95393,14.14262,82.92723,,,,,,,,,,,1.6899111,0.2880384,,,,,,,,,,,,,,,,,,,,,,,75.98887,,,,,,,,,,714.9168,,,,,,,,,,,,,,,,,,,,,,,,,,714.9168,23.898033,199.00539,925.00195,1143.0884,2026.2205,1631.7625,190.9886,279.01654,1204.1495,853.0728,1239.0728,1755.1964,683.91656,1067.148,2820.863,3879.5015,1028.1145,1161.9697,1314.9408,,0,0,0,,,,,,0,,,,,,,1.1299784,0.13600437,1.6098489,0.15498988,23.001692,23.001692,0,23.001692,0,1.2368175,,,130.02084,5.099544,282.98825,371.95615,1235.0989,21.002775,9.299368,1.3351647,1.5730194,8.198969,,0,,,,,0,9.3803835,4.290016,,,1
KFC side order: BBQ Baked Beans,2.3,2.1,24.5587111,25.3457666,27.69790194,73%,14%,13%,8.859308009,25,,121.81261,89.11437,17.309608,15.384521,,3.8460405,,8.3344145,,,,,,,1.9229944,0.6409457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8460405,,,,,,,,,,,,,,,,,,,,256.4122,,,,,,,,0,,,,,,,,,,,,,,,,,0.01275312,0.01275312,51.284607,1.1538417,,,,487.1698,,,,,0.01275312,3.205451,,,,,,,,,,1
KFC side order: Green Beans,4.2,2.6,42.0667727,31.64796133,14.17268728,61%,30%,9%,1.310719631,42,,34.093033,20.834772,10.230389,3.0301704,,2.2727828,,2.2727828,,,,,,,1.136537,0.37878606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7576535,,,,,,,,,,,,,,,,,,,,151.50264,,,,,,,,1.8184036,,,,,,,,,,,,,,,,,0.01275312,0.01275312,30.301481,0.54551715,,,,553.0787,,,,,0.01275312,3.7883942,,,,,,,,,,1
Lima beans. immature seeds. canned. no salt added. solids and liquids,3,5,48,60,36,77%,3%,20%,5.420607454,66,87,71.00893,54.45978,2.4275582,14.124458,0,3.5997064,,0.9299177,,,,,,,0.28999484,0.06599552,0,0,0,0,0,,1.0000149,,57.00155,,7.000213,,,,,0.01600113,,,0,,,,15.999458,,,0,0,,,,0.13898504,,93.995415,,,,,,,44.999252,,,0,,,,,0,,,0,,0,0,,,,44.999252,93.995415,4.069807,54.006813,172.99684,260.98273,319.01108,268.03476,39.99484,48.99776,200.03085,130.98505,254.03459,272.02487,137.98203,154.00516,436.06308,523.0126,163.01541,67.99529,254.03459,,150.00142,0,8.001201,0,90.00624,0,0,0,8.70105,,0.28999484,,,,3.5997064,0.0290007,0.042997424,0.5319936,0.062008534,15.999458,15.999458,0,15.999458,0,0.095005676,25.296267,,27.999046,1.6098489,33.994606,71.00893,284.99524,3.9998012,0.63991547,0.16200815,0.70000964,1.0998687,,0,,,,,0,81.16146,1.1398305,0,0,1
Lima beans. immature seeds. cooked. boiled. drained. without salt,2.5,4.9,41.94923912,58.25408205,41.94923912,79%,2%,19%,9.646698023,68,89,122.9922,96.69047,2.6775455,23.630838,0,5.2999988,,1.6301566,,,,,,,0.31994882,0.073010586,0,0,0,0,0,,1.0000149,,63.98985,,8.001201,,,,,0.019001834,,,0,,,,18.999727,,,0,0,,,,0.15399092,,104.00465,,,,,,,49.999485,,,0,,,,,0,,,0,,0,0,,,,49.999485,104.00465,6.8094444,88.99994,288.95923,438.0286,535.0783,450.00912,67.99529,83.00719,336.05197,218.99742,424.99957,455.97522,230.99243,257.982,730.94,876.96844,272.9878,101.00833,424.99957,,303.02893,0,14.998988,0,182.00397,0,0,0,10.099763,,0.13997783,,,,6.199669,0.13997783,0.095997654,1.040024,0.19300982,25.996523,25.996523,0,25.996523,0,0.2569699,44.097706,,32.002308,2.4502878,73.98957,130.02084,570.0341,17.000992,0.790006,0.30504715,1.25202,1.9998937,,0,,,,,0,67.17032,2.0599096,0,0,1
Lima beans. immature seeds. cooked. boiled. drained. with salt,2.5,4.4,41.26075196,53.29915154,41.26075196,79%,2%,19%,9.646698023,69,89,122.9922,96.69047,2.6775455,23.630838,,5.2999988,,1.6301566,,,,,,,0.31994882,0.073010586,,,,,,,1.0000149,,63.98985,,8.001201,,,,,0.019001834,,,,,,,18.999727,,,,,,,,0.15399092,,104.00465,,,,,,,49.999485,,,,,,,,,,,,,,,,,,49.999485,104.00465,6.8094444,88.99994,288.95923,438.0286,535.0783,450.00912,67.99529,83.00719,336.05197,218.99742,424.99957,455.97522,230.99243,257.982,730.94,876.96844,272.9878,101.00833,424.99957,,370.0493,0,18.999727,0,221.97212,0,0,0,10.099763,,0.13997783,,,,6.199669,0.13997783,0.095997654,1.040024,0.19300982,25.996523,25.996523,0,25.996523,0,0.2569699,44.097706,,32.002308,2.4502878,73.98957,130.02084,570.0341,252.97595,0.790006,0.30504715,1.25202,1.9998937,,0,,,,,0,67.17032,2.0599096,0,0,1
Lima beans. immature seeds. frozen. baby. cooked. boiled. drained. without salt,2.7,4.6,44.07703121,55.76535882,39.32444054,76%,2%,22%,7.153425067,63,88,105.011795,79.4333,2.5108693,23.075703,0,5.9997916,,1.3699474,,,,,,,0.29997736,0.06800502,0,0,0,0,0,,1.0000149,,60.007927,,8.001201,,,,,0.017001577,,,0,,,,17.000992,,,0,0,,,,0.14500153,,98.00385,,,,,,,46.99369,,,0,,,,,0,,,0,,0,0,,,,46.99369,98.00385,6.6494603,86.99301,281.99005,428.01376,522.0055,439.01468,65.993965,81.00518,328.05237,213.99037,415.0159,444.97794,226.00134,252.00266,713.9988,856.91797,265.97626,98.98468,415.0159,,166.99059,0,8.001201,0,100.00745,0,0,0,5.800763,,0.63991547,,,,5.200476,0.07000633,0.05500144,0.7699371,0.11500275,15.999458,15.999458,0,15.999458,0,0.17700617,37.194084,,27.999046,1.9598072,56.00328,112.01594,411.03558,28.996819,0.54992384,0.19697614,0.81294703,1.7002631,,0,,,,,0,72.34436,1.2500091,0,0,1
